S,V
1,1.00E-15
0.999,0.001
0.998,0.0019992
0.997,0.0029977
0.996,0.0039953
0.995,0.0049921
0.994,0.0059882
0.993,0.0069835
0.992,0.0079779
0.991,0.0089715
0.99,0.0099644
0.989,0.010956
0.988,0.011948
0.987,0.012938
0.986,0.013927
0.985,0.014916
0.984,0.015904
0.983,0.016891
0.982,0.017877
0.981,0.018862
0.98,0.019847
0.979,0.02083
0.978,0.021813
0.977,0.022795
0.976,0.023776
0.975,0.024756
0.974,0.025735
0.973,0.026713
0.972,0.027691
0.971,0.028667
0.97,0.029643
0.969,0.030618
0.968,0.031591
0.967,0.032564
0.966,0.033536
0.965,0.034507
0.964,0.035477
0.963,0.036446
0.962,0.037415
0.961,0.038382
0.96,0.039348
0.959,0.040313
0.958,0.041278
0.957,0.042241
0.956,0.043204
0.955,0.044165
0.954,0.045125
0.953,0.046085
0.952,0.047043
0.951,0.048001
0.95,0.048957
0.949,0.049913
0.948,0.050867
0.947,0.05182
0.946,0.052773
0.945,0.053724
0.944,0.054674
0.943,0.055623
0.942,0.056572
0.941,0.057519
0.94,0.058465
0.939,0.05941
0.938,0.060354
0.937,0.061296
0.936,0.062238
0.935,0.063179
0.934,0.064118
0.933,0.065057
0.932,0.065994
0.931,0.06693
0.93,0.067865
0.929,0.068799
0.928,0.069732
0.927,0.070664
0.926,0.071594
0.925,0.072524
0.924,0.073452
0.923,0.074379
0.922,0.075305
0.921,0.076229
0.92,0.077153
0.919,0.078075
0.918,0.078996
0.917,0.079916
0.916,0.080835
0.915,0.081752
0.914,0.082668
0.913,0.083583
0.912,0.084497
0.911,0.08541
0.91,0.086321
0.909,0.087231
0.908,0.088139
0.907,0.089047
0.906,0.089953
0.905,0.090858
0.904,0.091761
0.903,0.092664
0.902,0.093565
0.901,0.094464
0.9,0.095362
0.899,0.096259
0.898,0.097155
0.897,0.098049
0.896,0.098942
0.895,0.099834
0.894,0.10072
0.893,0.10161
0.892,0.1025
0.891,0.10339
0.89,0.10427
0.889,0.10515
0.888,0.10604
0.887,0.10692
0.886,0.10779
0.885,0.10867
0.884,0.10955
0.883,0.11042
0.882,0.1113
0.881,0.11217
0.88,0.11304
0.879,0.11391
0.878,0.11477
0.877,0.11564
0.876,0.1165
0.875,0.11737
0.874,0.11823
0.873,0.11909
0.872,0.11994
0.871,0.1208
0.87,0.12165
0.869,0.12251
0.868,0.12336
0.867,0.12421
0.866,0.12506
0.865,0.1259
0.864,0.12675
0.863,0.12759
0.862,0.12844
0.861,0.12928
0.86,0.13011
0.859,0.13095
0.858,0.13179
0.857,0.13262
0.856,0.13345
0.855,0.13428
0.854,0.13511
0.853,0.13594
0.852,0.13676
0.851,0.13759
0.85,0.13841
0.849,0.13923
0.848,0.14004
0.847,0.14086
0.846,0.14167
0.845,0.14249
0.844,0.1433
0.843,0.14411
0.842,0.14491
0.841,0.14572
0.84,0.14652
0.839,0.14732
0.838,0.14812
0.837,0.14892
0.836,0.14972
0.835,0.15051
0.834,0.1513
0.833,0.15209
0.832,0.15288
0.831,0.15367
0.83,0.15445
0.829,0.15523
0.828,0.15601
0.827,0.15679
0.826,0.15757
0.825,0.15834
0.824,0.15911
0.823,0.15988
0.822,0.16065
0.821,0.16142
0.82,0.16218
0.819,0.16294
0.818,0.1637
0.817,0.16446
0.816,0.16521
0.815,0.16597
0.814,0.16672
0.813,0.16747
0.812,0.16821
0.811,0.16896
0.81,0.1697
0.809,0.17044
0.808,0.17118
0.807,0.17191
0.806,0.17265
0.805,0.17338
0.804,0.17411
0.803,0.17483
0.802,0.17556
0.801,0.17628
0.8,0.177
0.799,0.17772
0.798,0.17843
0.797,0.17915
0.796,0.17986
0.795,0.18056
0.794,0.18127
0.793,0.18197
0.792,0.18267
0.791,0.18337
0.79,0.18407
0.789,0.18476
0.788,0.18545
0.787,0.18614
0.786,0.18682
0.785,0.18751
0.784,0.18819
0.783,0.18887
0.782,0.18954
0.781,0.19022
0.78,0.19089
0.779,0.19155
0.778,0.19222
0.777,0.19288
0.776,0.19354
0.775,0.1942
0.774,0.19485
0.773,0.19551
0.772,0.19616
0.771,0.1968
0.77,0.19745
0.769,0.19809
0.768,0.19873
0.767,0.19936
0.766,0.19999
0.765,0.20062
0.764,0.20125
0.763,0.20188
0.762,0.2025
0.761,0.20312
0.76,0.20373
0.759,0.20434
0.758,0.20495
0.757,0.20556
0.756,0.20617
0.755,0.20677
0.754,0.20737
0.753,0.20796
0.752,0.20855
0.751,0.20914
0.75,0.20973
0.749,0.21031
0.748,0.21089
0.747,0.21147
0.746,0.21205
0.745,0.21262
0.744,0.21318
0.743,0.21375
0.742,0.21431
0.741,0.21487
0.74,0.21543
0.739,0.21598
0.738,0.21653
0.737,0.21707
0.736,0.21762
0.735,0.21816
0.734,0.21869
0.733,0.21923
0.732,0.21976
0.731,0.22028
0.73,0.22081
0.729,0.22133
0.728,0.22184
0.727,0.22236
0.726,0.22287
0.725,0.22338
0.724,0.22388
0.723,0.22438
0.722,0.22488
0.721,0.22537
0.72,0.22586
0.719,0.22635
0.718,0.22683
0.717,0.22731
0.716,0.22778
0.715,0.22826
0.714,0.22873
0.713,0.22919
0.712,0.22965
0.711,0.23011
0.71,0.23057
0.709,0.23102
0.708,0.23147
0.707,0.23191
0.706,0.23235
0.705,0.23279
0.704,0.23322
0.703,0.23365
0.702,0.23408
0.701,0.2345
0.7,0.23492
0.699,0.23534
0.698,0.23575
0.697,0.23615
0.696,0.23656
0.695,0.23696
0.694,0.23736
0.693,0.23775
0.692,0.23814
0.691,0.23852
0.69,0.23891
0.689,0.23928
0.688,0.23966
0.687,0.24003
0.686,0.2404
0.685,0.24076
0.684,0.24112
0.683,0.24147
0.682,0.24182
0.681,0.24217
0.68,0.24251
0.679,0.24285
0.678,0.24319
0.677,0.24352
0.676,0.24385
0.675,0.24417
0.674,0.24449
0.673,0.24481
0.672,0.24512
0.671,0.24543
0.67,0.24574
0.669,0.24604
0.668,0.24633
0.667,0.24663
0.666,0.24692
0.665,0.2472
0.664,0.24748
0.663,0.24776
0.662,0.24803
0.661,0.2483
0.66,0.24857
0.659,0.24883
0.658,0.24909
0.657,0.24934
0.656,0.24959
0.655,0.24983
0.654,0.25008
0.653,0.25031
0.652,0.25055
0.651,0.25078
0.65,0.251
0.649,0.25122
0.648,0.25144
0.647,0.25165
0.646,0.25186
0.645,0.25207
0.644,0.25227
0.643,0.25247
0.642,0.25266
0.641,0.25285
0.64,0.25304
0.639,0.25322
0.638,0.2534
0.637,0.25357
0.636,0.25374
0.635,0.25391
0.634,0.25407
0.633,0.25423
0.632,0.25438
0.631,0.25453
0.63,0.25468
0.629,0.25482
0.628,0.25496
0.627,0.25509
0.626,0.25522
0.625,0.25535
0.624,0.25547
0.623,0.25559
0.622,0.2557
0.621,0.25581
0.62,0.25592
0.619,0.25603
0.618,0.25612
0.617,0.25622
0.616,0.25631
0.615,0.2564
0.614,0.25648
0.613,0.25656
0.612,0.25664
0.611,0.25671
0.61,0.25678
0.609,0.25685
0.608,0.25691
0.607,0.25697
0.606,0.25702
0.605,0.25707
0.604,0.25712
0.603,0.25716
0.602,0.2572
0.601,0.25724
0.6,0.25727
0.599,0.2573
0.598,0.25732
0.597,0.25734
0.596,0.25736
0.595,0.25737
0.594,0.25738
0.593,0.25739
0.592,0.25739
0.591,0.25739
0.59,0.25739
0.589,0.25738
0.588,0.25737
0.587,0.25736
0.586,0.25734
0.585,0.25732
0.584,0.2573
0.583,0.25727
0.582,0.25724
0.581,0.2572
0.58,0.25716
0.579,0.25712
0.578,0.25708
0.577,0.25703
0.576,0.25698
0.575,0.25693
0.574,0.25687
0.573,0.25681
0.572,0.25675
0.571,0.25668
0.57,0.25661
0.569,0.25654
0.568,0.25646
0.567,0.25638
0.566,0.2563
0.565,0.25621
0.564,0.25612
0.563,0.25603
